ID,Title,Abstract,Publication Year,Authors,Related_Topics,Citation Count,Reference Count
231732518,The Eighth Visual Object Tracking VOT2020 Challenge Results,,2020,"M. Kristan,A. Leonardis,Jiri Matas,M. Felsberg,R. Pflugfelder,Joni-Kristian Kämäräinen,Martin Danelljan,L. Č. Zajc,A. Lukežič,O. Drbohlav,Linbo He,Yushan Zhang,Song Yan,Jinyu Yang,G. Fernandez,A. Hauptmann,Alireza Memarmoghadam,Álvaro García-Martín,Andreas Robinson,A. Varfolomieiev,Awet Haileslassie Gebrehiwot,Bedirhan Uzun,Bin Yan,Bing Li,C. Qian,Chi-Yi Tsai,C. Micheloni,Dong Wang,Fei Wang,Fei Xie,Felix Järemo Lawin,F. Gustafsson,G. Foresti,Goutam Bhat,Guang-Gui Chen,Haibin Ling,Haitao Zhang,Hakan Cevikalp,Haojie Zhao,Haoran Bai,Hari Chandana Kuchibhotla,Hasan Saribas,Heng Fan,Hossein Ghanei-Yakhdan,Houqiang Li,Houwen Peng,Huchuan Lu,Hui Li,Javad Khaghani,Jesús Bescós,Jianhua Li,Jianlong Fu,Jiaqian Yu,Jingtao Xu,J. Kittler,Jun Yin,Junhyun Lee,Kaicheng Yu,Kaiwen Liu,Kang Yang,Kenan Dai,Li Cheng,Li Zhang,Lijun Wang,Linyuan Wang,L. Gool,Luca Bertinetto,Matteo Dunnhofer,Miao Cheng,Mohana Murali Dasari,Ning Wang,Pengyu Zhang,Philip H. S. Torr,Qiang Wang,R. Timofte,Rama Krishna Sai Subrahmanyam Gorthi,Seokeon Choi,S. M. Marvasti-Zadeh,Shaochuan Zhao,S. Kasaei,Shoumeng Qiu,Shuhao Chen,Thomas Bo Schön,Tianyang Xu,W. Lu,Weiming Hu,Wen-gang Zhou,Xi Qiu,Xiao Ke,Xiaojun Wu,Xiaolin Zhang,Xiaoyun Yang,Xuefeng Zhu,Yingjie Jiang,Yingming Wang,Yiwei Chen,Yu Ye,Yuezhou Li,Yuncon Yao,Yunsung Lee,Yuzhang Gu,Zezhou Wang,Zhangyong Tang,Zhenhua Feng,Zhijun Mai,Zhipeng Zhang,Zhirong Wu,Ziang Ma",Computer Science,187,87
39119547,Benign and malignant breast tumors classification based on region growing and CNN segmentation,,2015,"R. Rouhi,M. Jafari,S. Kasaei,P. Keshavarzian",Computer Science,352,58
206661629,Event Detection and Summarization in Soccer Videos Using Bayesian Network and Copula,"Semantic video analysis and automatic concept extraction play an important role in several applications; including content-based search engines, video indexing, and video summarization. As the Bayesian network is a powerful tool for learning complex patterns, a novel Bayesian network-based method is proposed for automatic event detection and summarization in soccer videos. The proposed method includes efficient algorithms for shot boundary detection, shot view classification, mid-level visual feature extraction, and construction of the related Bayesian network. The method contains of three main stages. In the first stage, the shot boundaries are detected. Using the hidden Markov model, the video is segmented into large and meaningful semantic units, called play-break sequences. In the next stage, several features are extracted from each of these units. Finally, in the last stage, in order to achieve high level semantic features (events and concepts), the Bayesian network is used. The basic part of the method is constructing the Bayesian network, for which the structure is estimated using the Chow-Liu tree. The joint distributions of random variables of the network are modeled by applying the Farlie-Gumbel-Morgenstern family of Copulas. The performance of the proposed method is evaluated on a dataset with about 9 h of soccer videos. The method is capable of detecting seven different events in soccer videos; namely, goal, card, goal attempt, corner, foul, offside, and nonhighlights. Experimental results show the effectiveness and robustness of the proposed method on detecting these events.",2014,"Mostafa Tavassolipour,Mahmood Karimian,S. Kasaei",Computer Science,98,40
5253113,An efficient PCA-based color transfer method,,2007,"A. Abadpour,S. Kasaei","Mathematics,Computer Science",67,45
208527176,Deep Learning for Visual Tracking: A Comprehensive Survey,"Visual target tracking is one of the most sought-after yet challenging research topics in computer vision. Given the ill-posed nature of the problem and its popularity in a broad range of real-world scenarios, a number of large-scale benchmark datasets have been established, on which considerable methods have been developed and demonstrated with significant progress in recent years – predominantly by recent deep learning (DL)-based methods. This survey aims to systematically investigate the current DL-based visual tracking methods, benchmark datasets, and evaluation metrics. It also extensively evaluates and analyzes the leading visual tracking methods. First, the fundamental characteristics, primary motivations, and contributions of DL-based methods are summarized from nine key aspects of: network architecture, network exploitation, network training for visual tracking, network objective, network output, exploitation of correlation filter advantages, aerial-view tracking, long-term tracking, and online tracking. Second, popular visual tracking benchmarks and their respective properties are compared, and their evaluation metrics are summarized. Third, the state-of-the-art DL-based methods are comprehensively examined on a set of well-established benchmarks of OTB2013, OTB2015, VOT2018, LaSOT, UAV123, UAVDT, and VisDrone2019. Finally, by conducting critical analyses of these state-of-the-art trackers quantitatively and qualitatively, their pros and cons under various common scenarios are investigated. It may serve as a gentle use guide for practitioners to weigh when and under what conditions to choose which method(s). It also facilitates a discussion on ongoing issues and sheds light on promising research directions.",2019,"S. M. Marvasti-Zadeh,Li Cheng,Hossein Ghanei-Yakhdan,S. Kasaei","Computer Science,Engineering",205,272
9281781,Spatial-Aware Dictionary Learning for Hyperspectral Image Classification,"This paper presents a structured dictionary-based model for hyperspectral data that incorporates both spectral and contextual characteristics of spectral samples. The idea is to partition the pixels of a hyperspectral image into a number of spatial neighborhoods called contextual groups and to model the pixels inside a group as members of a common subspace. That is, each pixel is represented using a linear combination of a few dictionary elements learned from the data, but since pixels inside a contextual group are often made up of the same materials, their linear combinations are constrained to use common elements from the dictionary. To this end, dictionary learning is carried out with a joint sparse regularizer to induce a common sparsity pattern in the sparse coefficients of a contextual group. The sparse coefficients are then used for classification using a linear support vector machine. Experimental results on a number of real hyperspectral images confirm the effectiveness of the proposed representation for hyperspectral image classification. Moreover, experiments with simulated multispectral data show that the proposed model is capable of finding representations that may effectively be used for classification of multispectral resolution samples.",2013,"A. Soltani-Farani,H. Rabiee,Seyyed Abbas Hosseini",Computer Science,122,67
227126845,Multiresolution Knowledge Distillation for Anomaly Detection,"Unsupervised representation learning has proved to be a critical component of anomaly detection/localization in images. The challenges to learn such a representation are two-fold. Firstly, the sample size is not often large enough to learn a rich generalizable representation through conventional techniques. Secondly, while only normal samples are available at training, the learned features should be discriminative of normal and anomalous samples. Here, we propose to use the ""distillation"" of features at various layers of an expert network, which is pre-trained on ImageNet, into a simpler cloner network to tackle both issues. We detect and localize anomalies using the discrepancy between the expert and cloner networks’ intermediate activation values given an input sample. We show that considering multiple intermediate hints in distillation leads to better exploitation of the expert’s knowledge and a more distinctive discrepancy between the two networks, compared to utilizing only the last layer activation values. Notably, previous methods either fail in precise anomaly localization or need expensive region-based training. In contrast, with no need for any special or intensive training procedure, we incorporate interpretability algorithms in our novel framework to localize anomalous regions. Despite the striking difference between some test datasets and ImageNet, we achieve competitive or significantly superior results compared to SOTA on MNIST, F-MNIST, CIFAR-10, MVTecAD, Retinal-OCT, and two other medical datasets on both anomaly detection and localization.",2020,"Mohammadreza Salehi,Niousha Sadjadi,Soroosh Baselizadeh,M. Rohban,H. Rabiee",Computer Science,217,62
4909695,A Hybrid Deep Learning Architecture for Privacy-Preserving Mobile Analytics,"Internet-of-Things (IoT) devices and applications are being deployed in our homes and workplaces. These devices often rely on continuous data collection to feed machine learning models. However, this approach introduces several privacy and efficiency challenges, as the service operator can perform unwanted inferences on the available data. Recently, advances in edge processing have paved the way for more efficient, and private, data processing at the source for simple tasks and lighter models, though they remain a challenge for larger and more complicated models. In this article, we present a hybrid approach for breaking down large, complex deep neural networks for cooperative, and privacy-preserving analytics. To this end, instead of performing the whole operation on the cloud, we let an IoT device to run the initial layers of the neural network, and then send the output to the cloud to feed the remaining layers and produce the final result. In order to ensure that the user’s device contains no extra information except what is necessary for the main task and preventing any secondary inference on the data, we introduce Siamese fine-tuning. We evaluate the privacy benefits of this approach based on the information exposed to the cloud service. We also assess the local inference cost of different layers on a modern handset. Our evaluations show that by using Siamese fine-tuning and at a small processing cost, we can greatly reduce the level of unnecessary, potentially sensitive information in the personal data, thus achieving the desired tradeoff between utility, privacy, and performance.",2017,"Seyed Ali Osia,Ali Shahin Shamsabadi,Sina Sajadmanesh,A. Taheri,Kleomenis Katevas,H. Rabiee,N. Lane,H. Haddadi",Computer Science,204,70
34979781,Novel dataset for fine-grained abnormal behavior understanding in crowd,"Despite the huge research on crowd on behavior understanding in visual surveillance community, lack of publicly available realistic datasets for evaluating crowd behavioral interaction led not to have a fair common test bed for researchers to compare the strength of their methods in the real scenarios. This work presents a novel crowd dataset contains around 45,000 video clips which annotated by one of the five different fine-grained abnormal behavior categories. We also evaluated two state-of-the-art methods on our dataset, showing that our dataset can be effectively used as a benchmark for fine-grained abnormality detection. The details of the dataset and the results of the baseline methods are presented in the paper.",2016,"H. Rabiee,J. Haddadnia,Hossein Mousavi,M. Kalantarzadeh,Moin Nabi,Vittorio Murino",Computer Science,50,26
11527748,Deep Private-Feature Extraction,"We present and evaluate Deep Private-Feature Extractor (DPFE), a deep model which is trained and evaluated based on information theoretic constraints. Using the selective exchange of information between a user's device and a service provider, DPFE enables the user to prevent certain sensitive information from being shared with a service provider, while allowing them to extract approved information using their model. We introduce and utilize the log-rank privacy, a novel measure to assess the effectiveness of DPFE in removing sensitive information and compare different models based on their accuracy-privacy trade-off. We then implement and evaluate the performance of DPFE on smartphones to understand its complexity, resource demands, and efficiency trade-offs. Our results on benchmark image datasets demonstrate that under moderate resource utilization, DPFE can achieve high accuracy for primary tasks while preserving the privacy of sensitive information.",2018,"S. A. Ossia,A. Taheri,A. Shamsabadi,Kleomenis Katevas,H. Haddadi,H. Rabiee","Mathematics,Computer Science",78,63
